,epoch,Training Loss generator,Training Loss discriminator,Valid. Loss,Valid. Accur.,Training Time,Test Time,Test accuracy,Test f1_score_macro,Test f1_score_micro
0,1,0.3184278401590529,2.962475140889486,0.7590134143829346,0.79,0:00:19,0:00:03,0.79,0.11033519553072627,0.79
1,2,0.8076799171311515,1.5155152792022342,0.5640979409217834,0.82625,0:00:19,0:00:03,0.82625,0.17590178791201416,0.82625
2,3,0.7742402525175185,1.419298115230742,0.6669453978538513,0.83125,0:00:19,0:00:03,0.83125,0.18807109676101993,0.83125
3,4,0.7566401419185457,1.6355023497626895,0.7250130772590637,0.83,0:00:19,0:00:03,0.83,0.22009093084469966,0.83
4,5,0.7477972819691613,1.4334222135089694,0.7338127493858337,0.83,0:00:19,0:00:03,0.83,0.20540184453227933,0.83
5,6,0.7457150306020465,1.4151978549503146,0.5911991000175476,0.8325,0:00:19,0:00:03,0.8325,0.2916411647957433,0.8325
6,7,0.7258160540035793,1.4019023009708949,0.5641876459121704,0.82625,0:00:19,0:00:03,0.82625,0.21825297952742828,0.82625
7,8,0.7240409510476249,1.4045545004663014,0.5451930165290833,0.86375,0:00:19,0:00:03,0.86375,0.2680242551566081,0.86375
8,9,0.722060813790276,1.2562381029129028,0.6104685664176941,0.79625,0:00:19,0:00:03,0.79625,0.25652065071689345,0.79625
9,10,0.7178657622564406,1.2334687255677723,0.43351706862449646,0.87,0:00:19,0:00:03,0.87,0.2861136275732549,0.87
10,11,0.7205943805830819,1.1814020645050776,0.43569523096084595,0.8725,0:00:19,0:00:03,0.8725,0.30660304654521214,0.8725
11,12,0.7125523885091146,1.174662022363572,0.5336712002754211,0.83,0:00:19,0:00:03,0.83,0.2706784361471861,0.83
12,13,0.704139076528095,1.245756603422619,0.4159739017486572,0.8625,0:00:20,0:00:03,0.8625,0.30705623205623206,0.8625
13,14,0.7237384205772763,1.3024968306223552,0.5729717016220093,0.83625,0:00:20,0:00:03,0.83625,0.24807417320272251,0.83625
14,15,0.7120367118290493,1.2881060327802385,0.5164896845817566,0.83625,0:00:20,0:00:03,0.83625,0.29308905634213983,0.83625
15,16,0.7212359280813307,1.2726776117370242,0.4497973620891571,0.88,0:00:20,0:00:03,0.88,0.3082678415495753,0.88
16,17,0.7077366652942839,1.1973412320727395,0.4471692144870758,0.8775,0:00:21,0:00:03,0.8775,0.30901513932077573,0.8775
17,18,0.7122184151694888,1.1273506056694758,0.4511193335056305,0.87875,0:00:21,0:00:03,0.87875,0.31202226735901795,0.87875
18,19,0.7129830632890973,1.1325273996307736,0.4232901930809021,0.88,0:00:21,0:00:03,0.88,0.31487770898598927,0.88
19,20,0.707095722357432,1.1231111515135992,0.3892306983470917,0.9,0:00:21,0:00:03,0.9,0.39200984193903665,0.9
20,21,0.7064972917238871,1.0806891236986433,0.44283831119537354,0.88125,0:00:21,0:00:03,0.88125,0.34627808582362174,0.88125
21,22,0.7222940779867626,1.5613666943141393,0.7428821921348572,0.83125,0:00:21,0:00:03,0.83125,0.2325030301146782,0.83125
22,23,0.7242254416147867,1.5685646789414542,0.619629442691803,0.8325,0:00:21,0:00:03,0.8325,0.2232615744910827,0.8325
23,24,0.7239803501537868,1.2501419583956401,0.5456256866455078,0.855,0:00:21,0:00:03,0.855,0.2640533906130166,0.855
24,25,0.7114789883295695,1.1891786115510123,0.4670541286468506,0.87,0:00:21,0:00:03,0.87,0.28584653965035556,0.87
25,26,0.7088462454932076,1.1592590354737782,0.41847386956214905,0.8725,0:00:21,0:00:03,0.8725,0.3003302764568422,0.8725
26,27,0.7147022627648854,1.126010341303689,0.3986607789993286,0.88,0:00:21,0:00:03,0.88,0.341265391710155,0.88
27,28,0.7224024080094837,1.1782696559315635,0.41036373376846313,0.87,0:00:21,0:00:03,0.87,0.2953331399449412,0.87
28,29,0.7098715872991652,1.154744497367314,0.4613911807537079,0.8625,0:00:21,0:00:03,0.8625,0.2765998225248029,0.8625
29,30,0.7124506859552293,1.1416988968849182,0.4436371922492981,0.86875,0:00:21,0:00:03,0.86875,0.2740034620730629,0.86875
30,31,0.715098588239579,1.14244411389033,0.33858737349510193,0.90875,0:00:21,0:00:03,0.90875,0.4288082552587586,0.90875
31,32,0.7095510477111453,1.051050685700916,0.3218170404434204,0.895,0:00:21,0:00:03,0.895,0.39819196714599264,0.895
32,33,0.7145971542312985,1.1593774159749348,0.5492479205131531,0.84875,0:00:21,0:00:03,0.84875,0.2680788065456077,0.84875
33,34,0.7047390256609235,1.1338289408456712,0.39252832531929016,0.90625,0:00:21,0:00:03,0.90625,0.41433924726863114,0.90625
34,35,0.7130150681450254,1.0629557342756362,0.39407089352607727,0.9,0:00:21,0:00:03,0.9,0.39838125238964905,0.9
35,36,0.7087895614760262,1.073062797387441,0.3397175967693329,0.90625,0:00:21,0:00:03,0.90625,0.4096920289855073,0.90625
36,37,0.7076973290670485,1.273419195697421,0.30918166041374207,0.9125,0:00:21,0:00:03,0.9125,0.41791106484511564,0.9125
37,38,0.7176887506530398,1.0196494772320701,0.3089578449726105,0.9125,0:00:21,0:00:03,0.9125,0.4202190858183066,0.9125
38,39,0.7154311310677302,0.9623550942965916,0.286264568567276,0.9175,0:00:21,0:00:03,0.9175,0.4459780301704792,0.9175
39,40,0.7183693250020345,0.9437521412259057,0.28394201397895813,0.915,0:00:21,0:00:03,0.915,0.44894620939966046,0.915
40,41,0.703741363116673,0.9635140924226671,0.2730587422847748,0.90375,0:00:21,0:00:03,0.90375,0.4138144975635004,0.90375
41,42,0.715210843653906,1.0227591537293934,0.2927617132663727,0.91,0:00:21,0:00:03,0.91,0.4436276264891922,0.91
42,43,0.7120561230750311,0.9905214593524024,0.35039401054382324,0.89375,0:00:21,0:00:03,0.89375,0.4608218406980017,0.89375
43,44,0.7028460616157168,1.001026763802483,0.3441579043865204,0.91625,0:00:21,0:00:03,0.91625,0.46904136266334984,0.91625
44,45,0.7140008892331805,1.0004202893802099,0.3327472507953644,0.9075,0:00:21,0:00:03,0.9075,0.44308642248754315,0.9075
45,46,0.7116974904423669,0.9917225468726385,0.3235738277435303,0.9125,0:00:20,0:00:03,0.9125,0.44633278855192965,0.9125
46,47,0.7068819829395839,0.9426541072981698,0.25289422273635864,0.92875,0:00:19,0:00:03,0.92875,0.5393933290619,0.92875
47,48,0.7138327445302691,0.9260587209746951,0.23562735319137573,0.93625,0:00:19,0:00:03,0.93625,0.5462856384072854,0.93625
48,49,0.7047631655420575,0.9236365102586293,0.24279405176639557,0.94375,0:00:19,0:00:03,0.94375,0.5494152108630302,0.94375
49,50,0.7119759094147455,0.9135839683668954,0.23149017989635468,0.9425,0:00:19,0:00:03,0.9425,0.5681341109634481,0.9425
